Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
Prestação de serviços para uma solução integrada de telepatologia/patologia digital para o Laboratório de Anatomia Patológica;Concurso público;Aquisição de serviços;85111800-8;Principal;Serviços de patologia;306000.0 € ;"Centro Hospitalar Universitário Cova da Beira, E. P. E. (506361659)";"ZMWay, Lda. (508085349)";;26-04-2024;19-10-2023;1095 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2480261;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de serviços de reserva de sala e serviços conexos para a realização de reuniões e conferências no concelho da Covilhã;Ajuste Direto Regime Geral;Aquisição de serviços;70200000-3;Principal;Serviços de arrendamento ou locação de bens imóveis próprios;5000.0 € ;Ordem dos Contabilistas Certificados (503692310);ANIL (501064320);"5.000,00 €";14-02-2024;31-01-2023;335 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";Cumprimento integral do contrato;24-01-2024;"2.000,00 €";; Não foi contratado o valor total adjudicado no âmbito deste contrato. ;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição de serviços de seguro de acidentes de trabalho, seguro de responsabilidade civil, seguro de acidentes pessoais e seguro de frota automóvel";Concurso público;Aquisição de serviços;66510000-8;Principal;Serviços de seguros;261353.23 € ;"Centro Hospitalar Cova da Beira, EPE (506361659)";Caravela Companhia de Seguros SA (503640549);;08-02-2024;28-12-2023;366 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2599684;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Prestação de Serviços para renovação do contrato de assistência e manutenção das tecnologias DataCenter;Concurso público;Aquisição de serviços;72267000-4;Principal;Serviços de manutenção e reparação de software;47140.32 € ;"Centro Hospitalar Cova da Beira, EPE (506361659)";"CLARANET II SOLUTIONS, S.A. (510728189)";;08-02-2024;28-12-2023;366 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2665651;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição de Serviços de Seguro de Grupo de Acidentes Pessoais de Atividades para Crianças e Jovens (2 apólices) no Âmbito do Projeto ""9.ª Geração do Programa Escolhas - Criateixo E9G e JUMP E9G";Consulta Prévia;Aquisição de serviços;66000000-0;Principal;Serviços de finanças e seguros;4.3 € ;Beira Serra - Associação Promotora do Desenvolvimento Rural Integrado (503310557);Imperbeiras (504455966);"4,30 €";01-02-2024;22-12-2023;1096 dias;"Portugal, Castelo Branco, Belmonte<BR/>Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Aquisição no exterior de diagnósticos anatomopatológicos;Concurso público;Aquisição de serviços;85145000-7;Principal;Serviços prestados por laboratórios médicos;145936.3 € ;"Centro Hospitalar Universitário Cova da Beira, E. P. E. (506361659)";IPATIMUP - Instituto de Patologia e Imunologia Molecular da Universidade do Porto (502246308);"145.936,30 €";26-01-2024;28-12-2023;366 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2552095;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de serviços de Seguro de Responsabilidade Civil e Seguro de Frota Automóvel;Ajuste Direto Regime Geral;Aquisição de serviços;66510000-8;Principal;Serviços de seguros;57794.68 € ;"Centro Hospitalar Universitário Cova da Beira, E. P. E. (506361659)";"GENERALI SEGUROS, SA (500940231)";"57.794,68 €";19-01-2024;29-12-2023;366 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 24.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2698364;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Serviço de limpeza de terrenos e caminhos vicinais;Ajuste Direto Regime Geral;Aquisição de serviços;79610000-3;Principal;Serviços de colocação de pessoal;9840.0 € ;União das Freguesias de Casegas e Ourondo (510835805);César Dias Marcelino Araújo;"9.840,00 €";18-01-2024;29-12-2023;366 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Aquisição de serviços de dosimetria individual;Concurso público;Aquisição de serviços;90721600-3;Principal;Serviços de radioprotecção;14592.0 € ;"Centro Hospitalar Cova da Beira, EPE (506361659)";Ambimed (503593427);"14.592,00 €";16-01-2024;21-12-2023;1096 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2674887;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"CPr 42/2023 - Aquisição de serviços de revisão de projeto, gestão, fiscalização e coordenação de segurança em obra da empreitada de ""Residência da Boavista""";Consulta Prévia;Aquisição de serviços;71000000-8;Principal;"Serviços de arquitectura, construção, engenharia e inspecção";69940.0 € ;Universidade da Beira Interior (502083514);"Afaplan - Planeamento e Gestão de Projectos, S.A. (503231100)";"69.940,00 €";10-01-2024;28-12-2023;366 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/Njk3ODA4;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
