	Lexeme			Token			Value
	30			Constant			0
	c			Identifier			1
	:			Punctuator			2
	\			Punctuator			3
	Users			Identifier			4
	\			Punctuator			5
	rene			Identifier			6
	_			Punctuator			7
	\			Punctuator			8
	01			Constant			9
	-			Operator			10
	Python			Identifier			11
	\			Punctuator			12
	ubi			Identifier			13
	-			Operator			14
	master			Identifier			15
	-			Operator			16
	computer			Identifier			17
	-			Operator			18
	engineering			Identifier			19
	\			Punctuator			20
	14460			Constant			21
	-			Operator			22
	Compilers			Identifier			23
	\			Punctuator			24
	z			Identifier			25
	_			Punctuator			26
	examples			Identifier			27
	\			Punctuator			28
	identify			Identifier			29
	_			Punctuator			30
	keyboard			Identifier			31
	\			Punctuator			32
	lex			Identifier			33
	.			Punctuator			34
	exe			Identifier			35
	;			Punctuator			36
