Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
AD 38/2023 - Reparação de um sistema de cromatografia de gases acoplado a um espectrómetro de massa em tandem - GC/MS/MS ;Ajuste Direto Regime Geral;Aquisição de serviços;50410000-2;Principal;"Serviços de reparação e manutenção de aparelhos de medição, ensaio e controlo";7700.0 € ;Universidade da Beira Interior (502083514);"Soquímica, Sociedade de Representações de Química, Lda (500274231)";"7.700,00 €";13-10-2023;29-09-2023;30 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/NjY2MTY2;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de serviços de avaliação de funcionamento do sistema de mobilidade da Covilhã;Ajuste Direto Regime Geral;Aquisição de serviços;71311200-3;Principal;Serviços de consultoria em sistemas de transportes;19990.0 € ;Município da Covilhã (505330768);Universidade da Beira Interior (502083514);"19.990,00 €";13-10-2023;12-10-2023;30 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
AQUISIÇÃO DE SERVIÇO DE CONTRATAÇÃO DE PLATAFORMA ELECTRÓNICA DE CANAIS DE DENUNCIAS - PROC.175/2023;Consulta Prévia;Aquisição de serviços;72421000-7;Principal;Serviços de desenvolvimento de aplicações para clientes de Internet ou intranet;4350.0 € ;Município da Covilhã (505330768);"WireMaze, S.A (505331187)";"4.350,00 €";12-10-2023;12-10-2023;1096 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2509951;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de serviços de alojamento e refeições para eventos do Município da Covilhã;Consulta Prévia;Aquisição de serviços;55100000-1;Principal;Serviços de hotelaria;25875.0 € ;Município da Covilhã (505330768);"Imobiliaria Manuel Brancal, SA Sport Hotel (502076127)";"25.875,00 €";12-10-2023;12-10-2023;366 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Empreitada para Fornecimento e Instalação de Bombas de Calor com Apoio Solar Fotovoltaico e Monitorização para Produção de Águas Quentes Sanitárias;Concurso público;Empreitadas de obras públicas;45315000-8;Principal;Instalação de equipamento para aquecimento e de outro equipamento eléctrico em edifícios;929175.45 € ;ENERAREA - Agência Regional de Energia e Ambiente do Interior (505799618);"Hen, Serviços Energéticos L.da (510287050)";"929.175,45 €";12-10-2023;11-09-2023;366 dias;"Portugal, Castelo Branco, Belmonte<BR/>Portugal, Castelo Branco, Fundão<BR/>Portugal, Guarda, Fig. Castelo Rodrigo<BR/>Portugal, Guarda, Pinhel<BR/>Portugal, Guarda, Manteigas<BR/>Portugal, Guarda, Celorico da Beira<BR/>Portugal, Guarda, Meda<BR/>Portugal, Castelo Branco, Penamacor<BR/>Portugal, Guarda, Seia<BR/>Portugal, Guarda, Almeida<BR/>Portugal, Guarda, Fornos de Algodres<BR/>Portugal, Guarda, Trancoso<BR/>Portugal, Guarda, Guarda<BR/>Portugal, Guarda, Sabugal<BR/>Portugal, Castelo Branco, Covilhã<BR/>Portugal, Guarda, Gouveia";"Artigo 155.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.anogov.com/op-enerarea/faces/app/pap/listaDocs.jsp?papId=1001;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Consulta Prévia para a Aquisição de campânulas em acrílico para várias exposições do Município da Sertã;Consulta Prévia;Aquisição de bens móveis;39000000-2;Principal;"Mobiliário (incl. de escritório), acessórios, aparelhos domésticos (excl. iluminação) e produtos de limpeza";10795.0 € ;Município da Sertã (506963837);"Raquel Pires Alves, Unipessoal, Lda (515177164)";"10.795,00 €";12-10-2023;03-10-2023;20 dias;"Portugal, Castelo Branco, Sertã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Ajuste Direto para a aquisição de serviços de aulas de Natação na Piscina Municipal Coberta  e Aulas de Cárdio no Ginásio Municipal da Sertã;Ajuste Direto Regime Geral;Aquisição de serviços;80000000-4;Principal;Serviços de ensino e formação;13343.0 € ;Município da Sertã (506963837);Taíssa Lima da Silva;"13.343,00 €";12-10-2023;02-10-2023;274 dias;"Portugal, Castelo Branco, Sertã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Instalação de Parque de Manutenção e Parque Infantil;Concurso público;Empreitadas de obras públicas;45236290-9;Principal;Reparação de zonas de recreio;167537.47 € ;Município de Penamacor (506192164);"João de Sousa Baltasar, S.A. (501355510)";"167.537,47 €";12-10-2023;02-10-2023;180 dias;"Portugal, Castelo Branco, Penamacor";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.anogov.com/cm-penamacor/faces/app/pap/listaDocs.jsp?papId=4007;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Comemoração do Dia Internacional do Idoso- Aquisição de Brindes para evento realizado a 05/10/2023;Ajuste Direto Regime Geral;Aquisição de bens móveis;18530000-3;Principal;Prendas e brindes;6510.0 € ;Município de Oleiros (506824152);"Farinha & Amaro - Agência de Publicidade, Lda. (506815773)";"6.510,00 €";12-10-2023;04-10-2023;2 dias;"Portugal, Castelo Branco, Oleiros";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Comemoração do Dia Internacional do Idoso- Refeição, realizado no dia 05/10/2023";Ajuste Direto Regime Geral;Aquisição de serviços;55520000-1;Principal;Serviços de fornecimento de refeições (catering);11980.72 € ;Município de Oleiros (506824152);"Susana Isabel Alves Ribeiro, unipessoal lda (509819397)";"11.980,72 €";12-10-2023;04-10-2023;1 dias;"Portugal, Castelo Branco, Oleiros";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
